sid,sx,sy,eid,ex,ey,num,team,time
152,118.1965815,24.5002015,142,118.1958249,24.50185552,235,22,3
409,118.194148,24.48017916,402,118.1925597,24.48081353,235,25,3
152,118.1965815,24.5002015,156,118.1994072,24.50050697,235,32,3
156,118.1994072,24.50050697,152,118.1965815,24.5002015,167,33,3
409,118.194148,24.48017916,402,118.1925597,24.48081353,235,35,3
408,118.1927202,24.47744438,406,118.1912565,24.47807006,235,38,3
419,118.1956802,24.47951568,409,118.194148,24.48017916,235,39,3
419,118.1956802,24.47951568,409,118.194148,24.48017916,199,40,3
129,118.1958833,24.50377013,131,118.1975214,24.50381595,235,45,3
129,118.1958833,24.50377013,131,118.1975214,24.50381595,235,46,3
132,118.1992743,24.50380704,131,118.1975214,24.50381595,235,52,3
142,118.1958249,24.50185552,152,118.1965815,24.5002015,235,53,3
132,118.1992743,24.50380704,131,118.1975214,24.50381595,235,54,3
142,118.1958249,24.50185552,152,118.1965815,24.5002015,235,55,3
152,118.1965815,24.5002015,156,118.1994072,24.50050697,235,56,3
419,118.1956802,24.47951568,409,118.194148,24.48017916,25,61,3
419,118.1956802,24.47951568,409,118.194148,24.48017916,235,62,3
395,118.196897,24.48179809,394,118.1951547,24.48245227,235,63,3
408,118.1927202,24.47744438,406,118.1912565,24.47807006,235,64,3
50,118.2003003,24.51108935,49,118.1980189,24.51098186,235,71,3
50,118.2003003,24.51108935,49,118.1980189,24.51098186,235,72,3
50,118.2003003,24.51108935,49,118.1980189,24.51098186,87,81,3
39,118.1996098,24.50650354,123,118.1994763,24.50495817,235,83,3
142,118.1958249,24.50185552,152,118.1965815,24.5002015,235,84,3
142,118.1958249,24.50185552,152,118.1965815,24.5002015,235,85,3
395,118.196897,24.48179809,419,118.1956802,24.47951568,235,90,3
26,118.1946378,24.51064543,25,118.1960842,24.51082948,352,101,3
67,118.1978258,24.51630896,66,118.198525,24.51599731,70,103,3
39,118.1996098,24.50650354,123,118.1994763,24.50495817,235,107,3
216,118.2034853,24.4949429,212,118.2020267,24.49494015,199,108,3
204,118.1992565,24.49380775,196,118.1988556,24.49614206,235,123,3
44,118.2003195,24.50938552,47,118.2007214,24.5104762,235,125,3
44,118.2003195,24.50938552,47,118.2007214,24.5104762,208,126,3
209,118.2008385,24.4956138,208,118.2006286,24.49690385,151,160,3
101,118.2042224,24.50782179,102,118.2043085,24.50694379,199,162,3
196,118.1988556,24.49614206,204,118.1992565,24.49380775,199,164,3
152,118.1965815,24.5002015,153,118.1950299,24.49961974,199,165,3
101,118.2042224,24.50782179,102,118.2043085,24.50694379,199,168,3
142,118.1958249,24.50185552,152,118.1965815,24.5002015,199,185,3
142,118.1958249,24.50185552,152,118.1965815,24.5002015,199,186,3
152,118.1965815,24.5002015,142,118.1958249,24.50185552,215,199,3
101,118.2042224,24.50782179,102,118.2043085,24.50694379,199,200,3
281,118.191583,24.48935938,280,118.1938897,24.48882923,34,204,3
281,118.191583,24.48935938,280,118.1938897,24.48882923,235,205,3
216,118.2034853,24.4949429,212,118.2020267,24.49494015,199,211,3
281,118.191583,24.48935938,280,118.1938897,24.48882923,34,226,3
281,118.191583,24.48935938,280,118.1938897,24.48882923,164,227,3
216,118.2034853,24.4949429,212,118.2020267,24.49494015,199,231,3
255,118.1945341,24.49405849,199,118.1946976,24.49528905,235,234,3
101,118.2042224,24.50782179,102,118.2043085,24.50694379,199,241,3
301,118.2028478,24.48804985,304,118.2014941,24.48527326,37,244,3
278,118.1964804,24.49125042,277,118.1947334,24.49136427,37,246,3
255,118.1945341,24.49405849,259,118.1945043,24.49211796,135,270,3
255,118.1945341,24.49405849,259,118.1945043,24.49211796,235,271,3
409,118.194148,24.48017916,402,118.1925597,24.48081353,199,287,3
266,118.192609,24.49357461,270,118.1927913,24.49265572,100,289,3
157,118.2012388,24.50061944,156,118.1994072,24.50050697,199,293,3
157,118.2012388,24.50061944,156,118.1994072,24.50050697,199,294,3
157,118.2012388,24.50061944,156,118.1994072,24.50050697,139,295,3
26,118.1946378,24.51064543,25,118.1960842,24.51082948,235,297,3
67,118.1978258,24.51630896,66,118.198525,24.51599731,70,298,3
67,118.1978258,24.51630896,66,118.198525,24.51599731,70,299,3
626,118.1924027,24.51099427,11,118.1921252,24.51028951,37,310,3
39,118.1996098,24.50650354,123,118.1994763,24.50495817,199,317,3
198,118.1951292,24.49700371,199,118.1946976,24.49528905,199,324,3
626,118.1924027,24.51099427,11,118.1921252,24.51028951,37,334,3
321,118.1991361,24.48472984,312,118.1998647,24.48598844,164,346,3
204,118.1992565,24.49380775,196,118.1988556,24.49614206,216,349,3
196,118.1988556,24.49614206,204,118.1992565,24.49380775,199,350,3
255,118.1945341,24.49405849,199,118.1946976,24.49528905,235,354,3
255,118.1945341,24.49405849,199,118.1946976,24.49528905,235,355,3
196,118.1988556,24.49614206,204,118.1992565,24.49380775,199,359,3
157,118.2012388,24.50061944,156,118.1994072,24.50050697,199,360,3
397,118.1907795,24.48161194,384,118.1918336,24.48386186,235,366,3
209,118.2008385,24.4956138,208,118.2006286,24.49690385,151,371,3
209,118.2008385,24.4956138,208,118.2006286,24.49690385,151,372,3
216,118.2034853,24.4949429,212,118.2020267,24.49494015,199,389,3
101,118.2042224,24.50782179,102,118.2043085,24.50694379,199,390,3
67,118.1978258,24.51630896,66,118.198525,24.51599731,70,392,3
216,118.2034853,24.4949429,212,118.2020267,24.49494015,12,395,3
