id,sid,sx,sy,eid,ex,ey,num,time,max
470,32,118.1959306,24.50821225,31,118.1961226,24.5096796,5732,43,2016
1430,87,118.2023423,24.51144584,48,118.2010099,24.51102113,199,43,1285
121,143,118.1943111,24.50197753,142,118.1958249,24.50185552,1598,43,856
141,152,118.1965815,24.5002015,142,118.1958249,24.50185552,2392,43,856
149,154,118.194589,24.49968586,143,118.1943111,24.50197753,1574,43,2016
155,156,118.1994072,24.50050697,141,118.1993983,24.50203491,724,43,1008
153,156,118.1994072,24.50050697,152,118.1965815,24.5002015,2040,43,1008
289,196,118.1988556,24.49614206,204,118.1992565,24.49380775,364,43,856
281,198,118.1951292,24.49700371,199,118.1946976,24.49528905,210,43,1411
280,199,118.1946976,24.49528905,198,118.1951292,24.49700371,411,43,1411
435,199,118.1946976,24.49528905,255,118.1945341,24.49405849,214,43,1713
288,204,118.1992565,24.49380775,196,118.1988556,24.49614206,3674,43,856
441,255,118.1945341,24.49405849,259,118.1945043,24.49211796,140,43,1713
444,260,118.1948307,24.49400823,258,118.1947818,24.49212855,339,43,856
503,280,118.1938897,24.48882923,283,118.1933238,24.48748071,726,43,1008
658,351,118.1932078,24.48599548,352,118.1948672,24.48532282,322,43,1008
657,352,118.1948672,24.48532282,351,118.1932078,24.48599548,1498,43,1008
747,383,118.192428,24.48524636,384,118.1918336,24.48386186,1019,43,1008
773,384,118.1918336,24.48386186,397,118.1907795,24.48161194,1103,43,856
759,390,118.1940636,24.48394469,391,118.1937282,24.48305447,180,43,554
763,391,118.1937282,24.48305447,392,118.193125,24.48200444,1139,43,705
768,395,118.196897,24.48179809,354,118.19802,24.48397351,1286,43,856
839,395,118.196897,24.48179809,419,118.1956802,24.47951568,459,43,1008
770,396,118.1907993,24.48244597,382,118.1915082,24.48390213,940,43,856
772,397,118.1907795,24.48161194,384,118.1918336,24.48386186,705,43,856
797,402,118.1925597,24.48081353,404,118.1918886,24.47963026,290,43,1008
838,419,118.1956802,24.47951568,395,118.196897,24.48179809,1844,43,1008
836,419,118.1956802,24.47951568,409,118.194148,24.48017916,653,43,1008
1319,599,118.1969684,24.48031433,419,118.1956802,24.47951568,470,43,235
337,25,118.1960842,24.51082948,26,118.1946378,24.51064543,3418,44,1512
849,25,118.1960842,24.51082948,49,118.1980189,24.51098186,1232,44,1285
1092,26,118.1946378,24.51064543,503,118.1933791,24.51140735,1771,44,504
961,49,118.1980189,24.51098186,53,118.1979515,24.51209628,1619,44,352
870,50,118.2003003,24.51108935,49,118.1980189,24.51098186,199,44,1285
983,53,118.1979515,24.51209628,54,118.1974916,24.51334934,1806,44,428
72,126,118.1952792,24.50575812,33,118.1957203,24.50713071,5156,44,2016
121,143,118.1943111,24.50197753,142,118.1958249,24.50185552,153,44,856
149,154,118.194589,24.49968586,143,118.1943111,24.50197753,2392,44,2016
289,196,118.1988556,24.49614206,204,118.1992565,24.49380775,364,44,856
280,199,118.1946976,24.49528905,198,118.1951292,24.49700371,741,44,1411
435,199,118.1946976,24.49528905,255,118.1945341,24.49405849,125,44,1713
288,204,118.1992565,24.49380775,196,118.1988556,24.49614206,3674,44,856
393,243,118.1993321,24.49272,244,118.198852,24.49087384,364,44,1008
392,244,118.198852,24.49087384,243,118.1993321,24.49272,705,44,1008
